month_start,year,month,borough,sales_count,median_sale_price
2025-07-01,2025,7,2,372,670825.0
2025-07-01,2025,7,3,1292,1025000.0
2025-07-01,2025,7,4,1387,718500.0
2025-07-01,2025,7,5,430,710000.0
2025-08-01,2025,8,1,1376,1205475.0
2025-08-01,2025,8,2,363,610000.0
2025-08-01,2025,8,3,1297,1125000.0
2025-08-01,2025,8,4,1338,719030.5
2025-08-01,2025,8,5,415,725000.0
2025-09-01,2025,9,1,1328,1100000.0
2025-09-01,2025,9,2,376,700000.0
2025-09-01,2025,9,3,1320,1100000.0
2025-09-01,2025,9,4,1394,740000.0
2025-09-01,2025,9,5,389,700000.0
2025-10-01,2025,10,1,1538,1692500.0
2025-10-01,2025,10,2,362,679500.0
2025-10-01,2025,10,3,1133,963050.0
2025-10-01,2025,10,4,1465,751306.0
2025-10-01,2025,10,5,458,700000.0
2025-11-01,2025,11,1,981,1214778.0
2025-11-01,2025,11,2,333,729000.0
2025-11-01,2025,11,3,1040,996000.0
2025-11-01,2025,11,4,1273,702811.0
2025-11-01,2025,11,5,355,740000.0
2025-12-01,2025,12,1,1280,1350000.0
2025-12-01,2025,12,2,421,650000.0
2025-12-01,2025,12,3,1250,999999.0
2025-12-01,2025,12,4,1514,750000.0
2025-12-01,2025,12,5,453,750000.0
